path,sheet,test_name,message,issues,location,example
data/5722948_Tree_stand_data_.csv,file,file_encoding,File encoding is not UTF-8,,file,File encoding is not UTF-8
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,mixed_datatypes,Table contains columns with mixed data types,,SiteType,"{'numeric': 612, 'text': 143}"
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,mixed_datatypes,Table contains columns with mixed data types,,Elevation,"{'numeric': 620, 'text': 135}"
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,mixed_datatypes,Table contains columns with mixed data types,,N,"{'numeric': 731, 'text': 24}"
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,mixed_datatypes,Table contains columns with mixed data types,,BA,"{'numeric': 727, 'text': 28}"
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,mixed_datatypes,Table contains columns with mixed data types,,DomD,"{'numeric': 519, 'text': 236}"
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,mixed_datatypes,Table contains columns with mixed data types,,DomH,"{'numeric': 741, 'text': 14}"
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,mixed_datatypes,Table contains columns with mixed data types,,CrownLength,"{'numeric': 237, 'text': 518}"
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,mixed_datatypes,Table contains columns with mixed data types,,V,"{'numeric': 587, 'text': 168}"
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,mixed_datatypes,Table contains columns with mixed data types,,CrownCover,"{'numeric': 491, 'text': 264}"
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,header_length,Some headers have improper lengths,,"(4, 'Age')",Header is less than 4 characters
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,header_length,Some headers have improper lengths,,"(9, 'N')",Header is less than 4 characters
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,header_length,Some headers have improper lengths,,"(10, 'BA')",Header is less than 4 characters
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,header_length,Some headers have improper lengths,,"(14, 'V')",Header is less than 4 characters
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(0, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(1, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(2, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(3, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(4, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(5, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(6, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(7, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(8, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(9, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(10, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(11, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(12, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(13, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(14, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(15, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(20, (11, 'DomD'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(20, (13, 'CrownLength'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(20, (14, 'V'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(20, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(21, (11, 'DomD'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(21, (13, 'CrownLength'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(21, (14, 'V'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(21, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(22, (11, 'DomD'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(22, (13, 'CrownLength'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(22, (14, 'V'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(22, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(23, (11, 'DomD'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(23, (13, 'CrownLength'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(23, (14, 'V'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(23, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(24, (11, 'DomD'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(24, (13, 'CrownLength'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(24, (14, 'V'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(24, (15, 'CrownCover'))",NA
data/5722948_Tree_stand_data_.csv,5722948_Tree_stand_data_,missing_value_text,Text denoting missing values found.,,"(25, (11, 'DomD'))",NA
