path,sheet,test_name,message,issues,location,example
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,file,filename_word_separation,"Filename mixes camel case, underscores, and dashes",,filename,5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,mixed_datatypes,Table contains columns with mixed data types,,%Platform,"{'numeric': 89549, 'text': 2719730}"
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,mixed_datatypes,Table contains columns with mixed data types,,St_No,"{'numeric': 2754075, 'datetime': 131434}"
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,mixed_datatypes,Table contains columns with mixed data types,,Year,"{'numeric': 2809279, 'datetime': 2809279}"
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,mixed_datatypes,Table contains columns with mixed data types,,Hr,"{'numeric': 2809279, 'datetime': 445573}"
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,mixed_datatypes,Table contains columns with mixed data types,,DOXY(umol/l),"{'numeric': 2809223, 'text': 56}"
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,header_length,Some headers have improper lengths,,"(6, 'Dy')",Header is less than 4 characters
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,header_length,Some headers have improper lengths,,"(7, 'Hr')",Header is less than 4 characters
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,header_special_characters,Headers contain special characters,,"(0, '%Platform')",Header contains special characters
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,header_special_characters,Headers contain special characters,,"(9, 'Pressure(Dbars)')",Header contains special characters
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,header_special_characters,Headers contain special characters,,"(12, 'DOXY(umol/l)')",Header contains special characters
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,header_special_characters,Headers contain special characters,,"(13, 'H2SX(umol/l)')",Header contains special characters
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,special_characters,Special characters found,,"(2075310, (1, 'St_No'))",Gt1/
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,special_characters,Special characters found,,"(2075311, (1, 'St_No'))",Gt1/
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,special_characters,Special characters found,,"(2075312, (1, 'St_No'))",Gt1/
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,special_characters,Special characters found,,"(2075313, (1, 'St_No'))",Gt1/
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,special_characters,Special characters found,,"(2075314, (1, 'St_No'))",Gt1/
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,special_characters,Special characters found,,"(2075315, (1, 'St_No'))",Gt1/
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,special_characters,Special characters found,,"(2075316, (1, 'St_No'))",Gt1/
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,special_characters,Special characters found,,"(2075317, (1, 'St_No'))",Gt1/
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,special_characters,Special characters found,,"(2075370, (1, 'St_No'))",B3/Z
data/5571723_Profiles_fromICES_ToCalculateAreaExtent_.csv,5571723_Profiles_fromICES_ToCalculateAreaExtent_,special_characters,Special characters found,,"(2075371, (1, 'St_No'))",B3/Z
